"filename", "language", "Python", "comment", "blank", "total"
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\__init__.py", "Python", 0, 0, 1, 1
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\admin.py", "Python", 8, 1, 2, 11
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\apps.py", "Python", 6, 0, 3, 9
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\0001_initial.py", "Python", 87, 1, 7, 95
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\0002_alter_debt_options_alter_expense_options_otp_token.py", "Python", 27, 1, 6, 34
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\0003_alter_otp_token_otp_code.py", "Python", 12, 1, 6, 19
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\0004_alter_otp_token_otp_code.py", "Python", 12, 1, 6, 19
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\0005_chatmodel_user_online_satuts_and_more.py", "Python", 27, 1, 6, 34
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\0006_alter_otp_token_otp_code_conversationmodel_message.py", "Python", 32, 1, 6, 39
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\migrations\__init__.py", "Python", 0, 0, 1, 1
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\models.py", "Python", 154, 2, 31, 187
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\serializers.py", "Python", 82, 3, 25, 110
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\signal.py", "Python", 37, 18, 8, 63
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\tests.py", "Python", 1, 1, 2, 4
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\urls.py", "Python", 33, 2, 2, 37
"c:\Mes minis projets\Whopaying\BackEnd\env\Scripts\Whopaying\whopayingg\views.py", "Python", 224, 19, 65, 308
"Total", "-", 742, 52, 177, 971